사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
23.Dec,6호선,2640,안암(고대병원앞),344310,340147,38710,37694
23.Dec,6호선,2641,고려대(종암),223044,214337,36113,35373
23.Dec,6호선,2642,월곡(동덕여대),278243,268124,69658,69035
23.Dec,6호선,2643,상월곡(한국과학기술연구원),151030,134199,41737,40204
23.Dec,6호선,2644,돌곶이,232880,208469,68623,67940
23.Dec,6호선,2645,석계,281337,292219,81771,81862
23.Dec,6호선,2646,태릉입구,136631,153504,34990,36163
23.Dec,6호선,2647,화랑대(서울여대입구),298319,225347,50392,45261
23.Dec,6호선,2648,봉화산(서울의료원),205042,190926,50887,50548
23.Dec,6호선,2649,신내,10,0,0,0
23.Dec,7호선,2711,장암,60244,24277,11419,8418
23.Dec,7호선,2712,도봉산,211600,238559,47102,67357
23.Dec,7호선,2713,수락산,270653,260070,102701,103934
23.Dec,7호선,2714,마들,286947,261341,93320,91084
23.Dec,7호선,2715,노원,513465,545280,151346,147469
23.Dec,7호선,2716,중계,329568,296083,96207,92190
23.Dec,7호선,2717,하계,420326,386814,116820,112778
23.Dec,7호선,2718,공릉(서울과학기술대),282103,275008,76175,75998
23.Dec,7호선,2719,태릉입구,217458,204547,46415,42275
23.Dec,7호선,2720,먹골,232839,225858,69962,71900
23.Dec,7호선,2721,중화,243586,234792,67378,67005
23.Dec,7호선,2722,상봉(시외버스터미널),433650,414192,80481,77238
23.Dec,7호선,2723,면목,348171,331090,97548,101132
23.Dec,7호선,2724,사가정,370004,364990,107090,107585
23.Dec,7호선,2725,용마산(용마폭포공원),135202,127074,35589,38284
23.Dec,7호선,2726,중곡,256221,235472,66945,67800
23.Dec,7호선,2727,군자(능동),363394,276523,86901,73484
23.Dec,7호선,2728,어린이대공원(세종대),402408,403652,42667,42641
23.Dec,7호선,2729,건대입구,350735,376641,66328,61328
23.Dec,7호선,2730,뚝섬유원지,197910,191037,44558,44051
23.Dec,7호선,2731,청담,438192,496223,79335,77114
23.Dec,7호선,2732,강남구청,396528,444538,53989,55019
23.Dec,7호선,2733,학동,566901,602163,65758,63140
23.Dec,7호선,2734,논현,446435,467782,46175,44748
23.Dec,7호선,2735,반포,145669,141762,37876,36011
23.Dec,7호선,2736,고속터미널,465196,365466,80391,72389
23.Dec,7호선,2737,내방,328895,336531,77924,75778
23.Dec,7호선,2738,이수,397254,383648,86356,81272
23.Dec,7호선,2739,남성,255383,235624,78129,77417
23.Dec,7호선,2740,숭실대입구(살피재),331950,323054,66985,68465
23.Dec,7호선,2741,상도,282198,273427,64882,62054
23.Dec,7호선,2742,장승배기,199872,190811,69915,70708
23.Dec,7호선,2743,신대방삼거리,339556,317420,93197,96192
23.Dec,7호선,2744,보라매,163800,168038,34011,34990
23.Dec,7호선,2745,신풍,249843,231118,75384,73382
23.Dec,7호선,2746,대림(구로구청),238703,243015,45962,45601
23.Dec,7호선,2747,남구로,352049,373897,64013,64497
23.Dec,7호선,2748,가산디지털단지,1029671,1029040,97373,91724
23.Dec,7호선,2749,철산,520648,528029,109815,109398
23.Dec,7호선,2750,광명사거리,445970,433431,156856,161515
23.Dec,7호선,2751,천왕,266983,249560,60995,60899
23.Dec,7호선,2752,온수(성공회대입구),234995,217392,42712,40073
23.Dec,7호선,2755,춘의,1,0,0,0
23.Dec,7호선,2756,신중동,1,0,0,0
23.Dec,7호선,2760,굴포천,1,0,0,0
23.Dec,8호선,2811,암사,428832,371210,109803,107710
23.Dec,8호선,2812,천호(풍납토성),362784,432847,92555,92072
23.Dec,8호선,2813,강동구청,236959,243791,70744,71608
23.Dec,8호선,2814,몽촌토성(평화의문),163038,168763,36782,36601
23.Dec,8호선,2815,잠실(송파구청),476460,563226,87854,85533
23.Dec,8호선,2816,석촌,187847,227660,54998,58376
23.Dec,8호선,2817,송파,214118,208536,68946,67903
23.Dec,8호선,2818,가락시장,179186,205634,73212,74193
23.Dec,8호선,2819,문정,511243,530172,64459,64191
23.Dec,8호선,2820,장지,421755,385272,89743,84522
23.Dec,8호선,2821,복정,227482,188724,40330,36142
23.Dec,8호선,2822,산성,140509,138873,34851,37067
23.Dec,8호선,2823,남한산성입구(성남법원.검찰청),315154,279320,77119,72771
23.Dec,8호선,2824,단대오거리,273297,261171,75761,74191
23.Dec,8호선,2825,신흥,113579,117883,42459,45275
23.Dec,8호선,2826,수진,116478,104741,46833,46172
23.Dec,8호선,2827,모란,91303,75876,55324,42282
23.Dec,8호선,2828,남위례,168720,169953,34188,33199
23.Dec,9호선,4101,개화,64820,42700,12731,9920
23.Dec,9호선,4102,김포공항,217198,310861,20946,26722
23.Dec,9호선,4103,공항시장,64898,68303,24870,26617
23.Dec,9호선,4104,신방화,155382,151686,50908,51146
23.Dec,9호선,4105,마곡나루(서울식물원),350635,344179,37345,36259
23.Dec,9호선,4106,양천향교,235931,238765,48724,48115
23.Dec,9호선,4107,가양,501547,484847,141125,137838
23.Dec,9호선,4108,증미,179226,169501,37973,37756
23.Dec,9호선,4109,등촌,258940,244587,86651,86909
23.Dec,9호선,4110,염창,436450,414518,80933,78901
23.Dec,9호선,4111,신목동,98852,85024,25024,23313
23.Dec,9호선,4112,선유도,214246,201011,31259,30599
23.Dec,9호선,4113,당산,490273,489449,73755,69075
23.Dec,9호선,4114,국회의사당,391802,406082,62710,57154
23.Dec,9호선,4115,여의도,784789,743058,56776,52292
23.Dec,9호선,4116,샛강,151875,151210,30167,29721
23.Dec,9호선,4117,노량진,707206,686094,105938,103672
23.Dec,9호선,4118,노들,104870,84210,33757,30937
23.Dec,9호선,4119,흑석(중앙대입구),215458,219181,59608,59872
23.Dec,9호선,4120,동작(현충원),38541,32685,10843,9463
23.Dec,9호선,4121,구반포,21278,21521,9251,9250
23.Dec,9호선,4122,신반포,90419,87568,28541,28506
23.Dec,9호선,4123,고속터미널,396988,575095,72488,86402
23.Dec,9호선,4124,사평,94443,88387,25082,25032
23.Dec,9호선,4125,신논현,882756,878594,57432,56351
23.Dec,공항철도 1호선,4201,서울역,374308,344424,35886,32284
23.Dec,공항철도 1호선,4202,공덕,73750,105924,8755,11115
23.Dec,공항철도 1호선,4203,홍대입구,444277,442108,20385,18876
23.Dec,공항철도 1호선,4204,디지털미디어시티,352347,330246,30334,28516
23.Dec,공항철도 1호선,4206,마곡나루(서울식물원),263384,256452,16264,16605
23.Dec,공항철도 1호선,4207,김포공항,293153,159623,24416,14899
23.Dec,공항철도 1호선,4208,계양,346832,324408,37504,35211
23.Dec,공항철도 1호선,4209,검암,171457,174894,17312,17427
23.Dec,공항철도 1호선,4210,청라국제도시,198829,187317,15263,15052
23.Dec,공항철도 1호선,4211,운서,245569,257928,29758,29837
23.Dec,공항철도 1호선,4212,공항화물청사,49150,63265,9807,9341
23.Dec,공항철도 1호선,4213,인천공항1터미널,378410,368324,33401,30208
23.Dec,공항철도 1호선,4215,인천공항2터미널,195905,163532,16770,14713
23.Dec,공항철도 1호선,4217,영종,100189,100950,21329,21094
23.Dec,9호선2~3단계,4126,언주,290461,295077,33826,33689
23.Dec,9호선2~3단계,4127,선정릉,240634,261389,28916,29855
23.Dec,9호선2~3단계,4128,삼성중앙,182761,191075,28620,28078
23.Dec,9호선2~3단계,4129,봉은사,591835,632668,58583,56892
23.Dec,9호선2~3단계,4130,종합운동장,129609,125694,22515,20891
23.Dec,9호선2~3단계,4131,삼전,183215,171461,41534,40862
23.Dec,9호선2~3단계,4132,석촌고분,165957,161333,42013,42302
23.Dec,9호선2~3단계,4133,석촌,235554,209363,42418,37417
23.Dec,9호선2~3단계,4134,송파나루,143778,154048,31167,32738
23.Dec,9호선2~3단계,4135,한성백제,70115,62152,18511,16862
23.Dec,9호선2~3단계,4136,올림픽공원(한국체대),240685,259690,32108,32021
23.Dec,9호선2~3단계,4137,둔촌오륜,25710,23365,7400,7835
23.Dec,9호선2~3단계,4138,중앙보훈병원,249357,210542,79115,76869
23.Dec,우이신설선,4701,북한산우이,54338,46424,35384,36612
23.Dec,우이신설선,4702,솔밭공원,47383,41732,29394,29765
23.Dec,우이신설선,4703,4.19민주묘지,62794,60167,34896,31971
23.Dec,우이신설선,4704,가오리,75120,71456,51786,53154
23.Dec,우이신설선,4705,화계,59810,53318,45453,45802
23.Dec,우이신설선,4706,삼양,32417,32476,27449,30181
23.Dec,우이신설선,4707,삼양사거리,39325,39007,36536,36215
23.Dec,우이신설선,4708,솔샘,133494,120901,41731,43523
23.Dec,우이신설선,4709,북한산보국문,147593,135559,46749,47002
23.Dec,우이신설선,4710,정릉,97411,86097,48931,46301
23.Dec,우이신설선,4711,성신여대입구(돈암),77088,91061,30897,30493
23.Dec,우이신설선,4712,보문,32101,32328,16180,15760
23.Dec,우이신설선,4713,신설동,34361,34613,31768,28026
23.Dec,신림선,4401,샛강,58939,72395,13832,13267
23.Dec,신림선,4402,대방,69162,50778,18710,15298
23.Dec,신림선,4403,서울지방병무청,61387,66226,24747,26740
23.Dec,신림선,4404,보라매,89887,82368,24184,22156
23.Dec,신림선,4405,보라매공원,44085,46880,15768,16465
23.Dec,신림선,4406,보라매병원,150922,158898,54728,53533
23.Dec,신림선,4407,당곡,99991,95207,37130,37043
23.Dec,신림선,4408,신림,35598,51450,16517,19771
23.Dec,신림선,4409,서원,78201,65644,24823,24000
23.Dec,신림선,4410,서울대벤처타운,217681,192290,65892,64942
23.Dec,신림선,4411,관악산(서울대),52150,52755,26218,26549
