사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
Dec.23,경부선,1710,의왕,37 ,1 ,5994 ,3465 ,12568 ,10999 ,27101 ,28998 ,26045 ,27178 ,14167 ,9789 ,11543 ,6526 ,11972 ,7349 ,12346 ,8783 ,11393 ,9663 ,11259 ,9028 ,14125 ,11042 ,20271 ,14210 ,27153 ,17530 ,22051 ,26209 ,10554 ,18419 ,8198 ,13373 ,6307 ,11909 ,4437 ,10620 ,2172 ,7633 ,80 ,1428 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1711,성균관대,155 ,10 ,8975 ,2245 ,26805 ,6863 ,63879 ,9298 ,52455 ,20871 ,28412 ,16040 ,23373 ,14872 ,22216 ,15048 ,23863 ,15950 ,21594 ,19874 ,20981 ,18728 ,22539 ,22897 ,27250 ,28229 ,28483 ,41533 ,23579 ,57684 ,15601 ,47956 ,13238 ,30453 ,11963 ,27535 ,9917 ,24490 ,4753 ,17782 ,256 ,2822 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1712,화서,350 ,18 ,8660 ,1435 ,22191 ,7169 ,41329 ,8369 ,32917 ,11085 ,16134 ,6738 ,13282 ,7012 ,12464 ,7942 ,11990 ,8404 ,11064 ,9973 ,10920 ,10085 ,12712 ,11920 ,17183 ,14985 ,14040 ,23429 ,11372 ,35487 ,6825 ,27864 ,5292 ,17409 ,4591 ,14577 ,3759 ,13418 ,1227 ,9360 ,74 ,1878 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1713,수원,1678 ,107 ,20462 ,4556 ,35474 ,28826 ,69133 ,47579 ,66395 ,70301 ,48998 ,65828 ,48075 ,68827 ,52987 ,74499 ,58717 ,87746 ,59387 ,82300 ,63713 ,80821 ,81742 ,82206 ,98662 ,94674 ,97339 ,105953 ,102695 ,126333 ,78589 ,91905 ,86487 ,55511 ,66402 ,44934 ,57694 ,36918 ,22782 ,25731 ,708 ,8247 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1714,독산,552 ,3 ,7617 ,2431 ,17399 ,12542 ,43587 ,44550 ,42085 ,93984 ,24426 ,45751 ,19519 ,16455 ,19701 ,13004 ,21256 ,14592 ,20176 ,15715 ,19399 ,13843 ,21691 ,18359 ,32658 ,21200 ,58585 ,28143 ,67085 ,43416 ,29230 ,33028 ,16534 ,20762 ,12414 ,22846 ,7987 ,21651 ,2859 ,12356 ,96 ,930 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1715,세류,405 ,3 ,4194 ,1228 ,8737 ,2628 ,15037 ,3799 ,9835 ,3669 ,6045 ,2665 ,5230 ,2922 ,4449 ,3537 ,4218 ,3756 ,4186 ,3442 ,4110 ,3675 ,4678 ,4771 ,6307 ,6340 ,7557 ,7919 ,5366 ,12235 ,3406 ,9184 ,2845 ,6871 ,2421 ,6101 ,1509 ,4835 ,428 ,3024 ,21 ,1044 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1716,병점,3469 ,25 ,8516 ,3412 ,27261 ,10860 ,50381 ,19746 ,40932 ,24661 ,29221 ,17027 ,27100 ,14137 ,26395 ,15365 ,26182 ,18463 ,23019 ,17903 ,23777 ,21012 ,26903 ,25635 ,31202 ,30955 ,33596 ,42555 ,30497 ,49476 ,17371 ,41624 ,13324 ,31594 ,11851 ,25903 ,8321 ,25495 ,3211 ,18048 ,47 ,7865 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1717,세마,313 ,2 ,2153 ,1309 ,5688 ,3672 ,9379 ,4237 ,9105 ,9959 ,6427 ,2678 ,5101 ,2162 ,4792 ,2659 ,5044 ,2596 ,5108 ,3600 ,4359 ,3425 ,5113 ,3893 ,7314 ,6551 ,7804 ,7865 ,8197 ,8602 ,3218 ,7827 ,2317 ,5383 ,2087 ,5004 ,1273 ,4716 ,573 ,2623 ,71 ,195 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1718,오산대,230 ,0 ,2984 ,1026 ,6693 ,2457 ,12360 ,3669 ,9442 ,8047 ,6288 ,3746 ,5639 ,3733 ,5282 ,3659 ,5906 ,3730 ,6339 ,4633 ,5615 ,4697 ,6168 ,4719 ,7842 ,6789 ,7759 ,9193 ,8593 ,11798 ,4033 ,10006 ,3234 ,5991 ,3075 ,5729 ,2191 ,4677 ,1130 ,3283 ,81 ,291 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1719,오산,385 ,2 ,7442 ,1893 ,13810 ,10267 ,22912 ,24640 ,23806 ,19531 ,19290 ,13493 ,19354 ,11722 ,19036 ,11184 ,20112 ,14699 ,17755 ,16347 ,17847 ,16496 ,19382 ,20537 ,23603 ,24632 ,25403 ,28949 ,26908 ,31134 ,15961 ,23898 ,12999 ,18338 ,9457 ,15161 ,5747 ,10918 ,2504 ,8759 ,153 ,704 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1720,진위,16 ,0 ,822 ,258 ,1511 ,2541 ,2558 ,7913 ,2441 ,7739 ,2154 ,2616 ,1927 ,1894 ,1912 ,1174 ,1956 ,1179 ,2032 ,1321 ,1849 ,1334 ,3922 ,1527 ,4214 ,1982 ,7121 ,2406 ,8228 ,2439 ,2813 ,2338 ,1543 ,1528 ,1062 ,1406 ,594 ,1239 ,228 ,847 ,16 ,47 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1721,송탄,74 ,1 ,5418 ,830 ,7375 ,3537 ,11397 ,6365 ,10758 ,8200 ,9571 ,4415 ,8587 ,4276 ,8846 ,4563 ,8352 ,6047 ,8881 ,6627 ,7806 ,6554 ,8607 ,8276 ,10261 ,9812 ,10373 ,13102 ,10496 ,13001 ,5915 ,12087 ,4262 ,10311 ,3524 ,8107 ,2246 ,7583 ,1016 ,6804 ,63 ,546 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1722,서정리,43 ,1 ,4352 ,4707 ,11451 ,8333 ,16120 ,16215 ,16199 ,20799 ,14423 ,8628 ,13374 ,6852 ,13333 ,8224 ,15186 ,10644 ,12906 ,10859 ,14146 ,11301 ,16637 ,13583 ,21768 ,18067 ,36735 ,21093 ,22711 ,19137 ,13350 ,18216 ,9885 ,15222 ,7647 ,11267 ,5128 ,11488 ,2479 ,9372 ,89 ,894 ,0 ,1 ,0 ,0 ,0 ,0 
Dec.23,경부선,1723,평택지제,8 ,0 ,2347 ,8932 ,4821 ,10782 ,11130 ,11611 ,9541 ,8109 ,6967 ,5215 ,6415 ,3953 ,6378 ,4637 ,7439 ,4901 ,5355 ,4691 ,6088 ,4992 ,8634 ,6434 ,9382 ,7244 ,17678 ,9285 ,11219 ,10634 ,9369 ,10184 ,6349 ,6688 ,4967 ,5838 ,4721 ,5877 ,2573 ,3933 ,43 ,502 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1724,평택,78 ,3 ,7562 ,2756 ,12864 ,8654 ,24883 ,15257 ,26656 ,24254 ,26051 ,22429 ,25417 ,18385 ,23535 ,23137 ,24488 ,25755 ,25250 ,25737 ,26251 ,27238 ,28163 ,30618 ,31700 ,34597 ,34894 ,39646 ,30639 ,38644 ,22331 ,26690 ,23052 ,22345 ,15902 ,16201 ,13476 ,13501 ,7794 ,8398 ,130 ,2510 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1725,성환,24 ,0 ,2360 ,756 ,3760 ,2410 ,6135 ,11714 ,6303 ,14151 ,7322 ,11409 ,7516 ,6920 ,7923 ,5552 ,7911 ,7465 ,13104 ,7395 ,11331 ,5848 ,11866 ,6643 ,12338 ,7859 ,15106 ,8787 ,11552 ,8176 ,4819 ,6443 ,4105 ,6346 ,2608 ,5373 ,1572 ,5210 ,775 ,4885 ,95 ,1224 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1726,직산,76 ,4 ,928 ,316 ,1384 ,1102 ,1805 ,2931 ,2009 ,3163 ,1605 ,1108 ,1491 ,895 ,1512 ,968 ,1287 ,1196 ,1403 ,1101 ,1305 ,1173 ,1560 ,1218 ,1656 ,1648 ,3448 ,2062 ,3093 ,2017 ,1088 ,1805 ,810 ,1273 ,677 ,1067 ,325 ,832 ,145 ,886 ,15 ,170 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1727,두정,1172 ,8 ,5751 ,1391 ,9146 ,3874 ,16695 ,9701 ,16546 ,16639 ,13860 ,18500 ,11926 ,15349 ,12624 ,12018 ,14392 ,14142 ,13991 ,14146 ,13957 ,11768 ,16103 ,10654 ,18013 ,14623 ,18004 ,18059 ,17928 ,23455 ,10616 ,16396 ,8315 ,13220 ,7016 ,9791 ,5173 ,10374 ,2780 ,8414 ,43 ,2302 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1728,천안,1815 ,3 ,2966 ,737 ,5445 ,2788 ,10438 ,6221 ,10114 ,12649 ,15238 ,12097 ,12411 ,11732 ,13729 ,14394 ,13669 ,15222 ,13863 ,14513 ,19081 ,13790 ,19544 ,14377 ,20431 ,15204 ,18029 ,19807 ,15315 ,19397 ,9973 ,12286 ,8504 ,8761 ,6405 ,7193 ,3927 ,5566 ,2429 ,3699 ,16 ,2471 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1729,당정,13 ,1 ,3919 ,971 ,9967 ,3008 ,23598 ,8122 ,21554 ,14870 ,12028 ,8093 ,9506 ,5368 ,9615 ,5465 ,10332 ,6579 ,9321 ,6366 ,8963 ,6397 ,9843 ,8095 ,10517 ,10052 ,12084 ,13272 ,12627 ,19384 ,5383 ,15375 ,4547 ,11580 ,3862 ,10035 ,3014 ,10152 ,1260 ,7045 ,77 ,1333 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1749,서동탄,7 ,0 ,1281 ,15 ,5147 ,739 ,9567 ,1519 ,3846 ,1218 ,2667 ,834 ,2009 ,739 ,1953 ,936 ,1689 ,1200 ,1760 ,1253 ,1618 ,1395 ,1902 ,2158 ,1887 ,2465 ,2006 ,3022 ,1883 ,5054 ,972 ,5188 ,728 ,2671 ,517 ,2158 ,438 ,2466 ,118 ,1903 ,8 ,1481 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경부선,1750,광명,0 ,0 ,14 ,1333 ,3269 ,2806 ,10757 ,6512 ,9808 ,6813 ,6765 ,6296 ,4416 ,4297 ,8336 ,2814 ,6128 ,9141 ,5759 ,182 ,4050 ,9536 ,9561 ,4994 ,5464 ,5816 ,10381 ,7765 ,10369 ,12050 ,8774 ,6884 ,3474 ,4603 ,7717 ,3285 ,3005 ,4964 ,1223 ,250 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경인선,1801,개봉,1202 ,7 ,17644 ,5642 ,35178 ,11504 ,86563 ,14266 ,82485 ,21730 ,51982 ,20509 ,39454 ,17863 ,36184 ,21186 ,36790 ,26268 ,33556 ,27120 ,30139 ,30027 ,30696 ,37296 ,34940 ,49278 ,35902 ,60275 ,30478 ,83343 ,18443 ,63561 ,15028 ,41944 ,12198 ,40760 ,9777 ,34689 ,3802 ,20838 ,97 ,1838 ,4 ,93 ,0 ,0 ,0 ,0 
Dec.23,경인선,1802,오류동,454 ,4 ,12017 ,1717 ,18151 ,5072 ,44360 ,5298 ,44712 ,11143 ,28827 ,10182 ,22845 ,9146 ,21392 ,9768 ,21535 ,12596 ,19080 ,13677 ,16665 ,15741 ,16508 ,18791 ,17507 ,23816 ,17118 ,28772 ,13783 ,40831 ,8510 ,34952 ,6562 ,22257 ,6113 ,21495 ,4612 ,19162 ,1931 ,12944 ,64 ,1366 ,2 ,54 ,0 ,0 ,0 ,0 
Dec.23,경인선,1803,역곡,776 ,11 ,26263 ,2836 ,42482 ,9322 ,106814 ,13183 ,105517 ,29776 ,64371 ,29688 ,46412 ,22803 ,41518 ,25688 ,42741 ,30591 ,41290 ,31064 ,36250 ,35351 ,37494 ,41602 ,39624 ,56851 ,39858 ,73931 ,34733 ,105297 ,22137 ,85030 ,17790 ,51264 ,15726 ,51126 ,13564 ,44844 ,5905 ,30470 ,256 ,3271 ,0 ,90 ,0 ,0 ,0 ,0 
Dec.23,경인선,1804,부천,2658 ,32 ,36908 ,3932 ,39828 ,11533 ,94082 ,16495 ,95737 ,39871 ,61225 ,40844 ,47771 ,40760 ,49579 ,45057 ,51595 ,52651 ,52357 ,57091 ,53103 ,53997 ,57853 ,61615 ,61514 ,67512 ,60463 ,90389 ,56843 ,110452 ,37568 ,89374 ,33448 ,56093 ,31066 ,51265 ,25381 ,42421 ,12689 ,30164 ,604 ,4599 ,8 ,87 ,0 ,0 ,0 ,0 
Dec.23,경인선,1805,송내,1293 ,4 ,16564 ,7357 ,36215 ,14247 ,97834 ,27608 ,82743 ,71893 ,50408 ,38383 ,39118 ,24105 ,40000 ,23916 ,38495 ,26422 ,36051 ,28367 ,33818 ,29295 ,36728 ,34333 ,40974 ,44914 ,50461 ,60197 ,69967 ,85659 ,28101 ,74666 ,22645 ,45805 ,19834 ,43693 ,15361 ,39095 ,7547 ,25236 ,505 ,3879 ,2 ,62 ,0 ,0 ,0 ,0 
Dec.23,경인선,1806,부평,8266 ,63 ,22642 ,4821 ,34040 ,10670 ,76566 ,18143 ,74225 ,30995 ,46959 ,37198 ,41015 ,35699 ,42183 ,42402 ,46247 ,50610 ,46614 ,57492 ,48050 ,58375 ,54703 ,60832 ,59647 ,73450 ,62610 ,88725 ,54992 ,115132 ,40881 ,91253 ,38119 ,54691 ,38578 ,48088 ,34081 ,38743 ,19151 ,25974 ,2886 ,7693 ,8 ,130 ,0 ,0 ,0 ,0 
Dec.23,경인선,1807,백운,76 ,1 ,8247 ,1282 ,14304 ,2497 ,28926 ,3820 ,26809 ,8928 ,17280 ,5994 ,14179 ,6154 ,13287 ,7744 ,13160 ,8477 ,11941 ,9692 ,10925 ,10255 ,10940 ,12596 ,11214 ,15841 ,10812 ,19999 ,9081 ,25277 ,4867 ,22510 ,4094 ,13738 ,3995 ,13711 ,2708 ,11966 ,1416 ,8233 ,140 ,2453 ,0 ,16 ,0 ,0 ,0 ,0 
Dec.23,경인선,1808,동암,437 ,8 ,19075 ,3066 ,28351 ,7319 ,54770 ,12078 ,54599 ,16170 ,34224 ,14360 ,28505 ,13503 ,25919 ,17049 ,26972 ,20414 ,25314 ,20448 ,23477 ,21289 ,24241 ,26144 ,25131 ,33991 ,25630 ,45696 ,22039 ,56014 ,13956 ,47733 ,11633 ,32767 ,10696 ,30111 ,8514 ,27394 ,4356 ,17357 ,358 ,5155 ,2 ,62 ,0 ,0 ,0 ,0 
Dec.23,경인선,1809,주안,806 ,23 ,13598 ,3877 ,27774 ,7937 ,56197 ,16692 ,53204 ,26418 ,35460 ,19962 ,29728 ,17708 ,31817 ,18895 ,34531 ,22236 ,32032 ,22098 ,29650 ,23778 ,32761 ,26902 ,35833 ,35091 ,39102 ,41470 ,35349 ,54330 ,21807 ,54673 ,19747 ,32609 ,18272 ,29298 ,14820 ,28481 ,7859 ,21257 ,774 ,6034 ,7 ,83 ,0 ,0 ,0 ,0 
Dec.23,경인선,1810,제물포,755 ,6 ,7846 ,2083 ,15273 ,5487 ,34068 ,12061 ,30585 ,31503 ,18944 ,13962 ,16068 ,10235 ,16708 ,9163 ,17399 ,11504 ,17208 ,12410 ,15607 ,11966 ,19034 ,14078 ,22897 ,16948 ,21843 ,22284 ,21859 ,29330 ,9789 ,26469 ,7055 ,15901 ,6138 ,15574 ,3858 ,15026 ,1697 ,10962 ,61 ,3596 ,1 ,19 ,0 ,0 ,0 ,0 
Dec.23,경인선,1811,동인천,1418 ,7 ,7141 ,2453 ,17342 ,10090 ,39441 ,20916 ,33080 ,30138 ,21661 ,17725 ,21103 ,19651 ,21362 ,22446 ,24587 ,21162 ,24421 ,23575 ,24701 ,22014 ,28119 ,23171 ,32178 ,26269 ,37938 ,29830 ,40117 ,34090 ,16959 ,32185 ,12820 ,20196 ,10850 ,17122 ,7661 ,16608 ,2876 ,10844 ,20 ,3973 ,0 ,30 ,0 ,0 ,0 ,0 
Dec.23,경인선,1812,인천,392 ,3 ,1237 ,1030 ,3062 ,2719 ,5270 ,5245 ,4680 ,8566 ,3194 ,4925 ,3577 ,5671 ,4656 ,6745 ,6351 ,7600 ,7409 ,6949 ,9074 ,6185 ,9947 ,5149 ,11745 ,4677 ,12295 ,4395 ,11051 ,3826 ,5067 ,2849 ,4315 ,2158 ,2859 ,1998 ,1681 ,1821 ,499 ,1271 ,8 ,1104 ,0 ,9 ,0 ,0 ,0 ,0 
Dec.23,경인선,1813,구일,184 ,8 ,4157 ,1466 ,9016 ,4687 ,24061 ,7365 ,20810 ,12537 ,14024 ,11345 ,11248 ,9209 ,10870 ,8577 ,11540 ,9312 ,10470 ,10556 ,10082 ,10282 ,12800 ,12356 ,14350 ,14019 ,12633 ,15467 ,10342 ,22465 ,5259 ,18061 ,6743 ,10776 ,12103 ,11252 ,5600 ,9377 ,1296 ,6747 ,47 ,613 ,0 ,42 ,0 ,0 ,0 ,0 
Dec.23,경인선,1814,소사,901 ,12 ,12854 ,2576 ,12485 ,4630 ,25848 ,6679 ,24048 ,9203 ,17681 ,9029 ,14428 ,8406 ,13582 ,9158 ,14017 ,10503 ,12834 ,10736 ,11796 ,11180 ,12296 ,12751 ,13419 ,15821 ,13173 ,19187 ,10345 ,23303 ,6102 ,18668 ,4388 ,13287 ,3906 ,12597 ,2738 ,11295 ,1212 ,8680 ,97 ,1602 ,1 ,42 ,0 ,0 ,0 ,0 
Dec.23,경인선,1815,부개,1998 ,28 ,10037 ,1394 ,16102 ,3055 ,38117 ,5363 ,31311 ,10215 ,19664 ,6618 ,15721 ,6251 ,14837 ,8054 ,15012 ,9844 ,14078 ,10238 ,11328 ,11348 ,11585 ,14415 ,13284 ,18568 ,12280 ,23421 ,10948 ,28313 ,6119 ,24952 ,4492 ,15569 ,4085 ,15584 ,2814 ,12828 ,1413 ,9394 ,174 ,2194 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경인선,1816,간석,342 ,18 ,5632 ,1311 ,10613 ,2633 ,20288 ,3860 ,19000 ,9673 ,11845 ,5191 ,10001 ,5087 ,9537 ,6056 ,10125 ,6839 ,9729 ,8256 ,8915 ,7968 ,9324 ,10099 ,9751 ,12104 ,9414 ,14666 ,9351 ,17594 ,4967 ,16210 ,4415 ,10220 ,3817 ,8613 ,3236 ,8292 ,1309 ,6077 ,142 ,2071 ,0 ,22 ,0 ,0 ,0 ,0 
Dec.23,경인선,1817,도원,394 ,10 ,2184 ,835 ,3322 ,1730 ,6522 ,4894 ,6388 ,16907 ,4610 ,3682 ,4488 ,4391 ,5091 ,3499 ,5640 ,3654 ,5835 ,4356 ,6300 ,4235 ,7405 ,4730 ,8520 ,5380 ,6950 ,6345 ,6646 ,5947 ,2393 ,5376 ,2306 ,3919 ,1886 ,3529 ,856 ,2872 ,390 ,2249 ,27 ,1313 ,1 ,7 ,0 ,1 ,0 ,0 
Dec.23,경인선,1821,온수(성공회대입구),149 ,2 ,4918 ,1333 ,7833 ,3199 ,20521 ,7533 ,19139 ,11474 ,13632 ,7236 ,11255 ,5802 ,11744 ,6335 ,12598 ,7262 ,11232 ,7715 ,10291 ,8449 ,11513 ,9910 ,13081 ,11564 ,11239 ,13909 ,9424 ,20177 ,4835 ,15894 ,3772 ,10189 ,4102 ,9809 ,2765 ,9147 ,1563 ,5952 ,115 ,843 ,1 ,29 ,0 ,0 ,0 ,0 
Dec.23,경인선,1822,중동,898 ,19 ,10962 ,1073 ,17360 ,3546 ,39272 ,5113 ,32222 ,10988 ,19267 ,7930 ,16020 ,7799 ,15848 ,9516 ,15704 ,10294 ,14516 ,11431 ,12823 ,11700 ,13193 ,14549 ,13532 ,17999 ,13546 ,24300 ,11006 ,30807 ,6607 ,24799 ,5338 ,17355 ,4853 ,15332 ,3103 ,13935 ,1463 ,9617 ,112 ,2100 ,1 ,29 ,0 ,0 ,0 ,0 
Dec.23,경인선,1823,도화,267 ,3 ,4177 ,898 ,6092 ,1906 ,15246 ,3502 ,13706 ,6871 ,8519 ,3266 ,7456 ,3682 ,7187 ,4282 ,7095 ,5319 ,6844 ,5578 ,6500 ,6125 ,6121 ,7151 ,7595 ,8549 ,7202 ,9850 ,6693 ,10289 ,3220 ,9921 ,2506 ,6298 ,1991 ,5606 ,1464 ,4972 ,702 ,4390 ,54 ,1927 ,0 ,14 ,0 ,0 ,0 ,0 
Dec.23,경원선,1008,이촌(국립중앙박물관),59 ,2 ,1032 ,558 ,3250 ,2323 ,8083 ,4231 ,9054 ,8404 ,8189 ,4997 ,6848 ,3881 ,7251 ,3906 ,7094 ,4013 ,7200 ,4821 ,6860 ,4655 ,7484 ,5458 ,8405 ,6277 ,10598 ,7051 ,9434 ,8287 ,4761 ,5832 ,4129 ,4352 ,3591 ,4479 ,2077 ,4554 ,708 ,2946 ,56 ,870 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1009,서빙고,28 ,0 ,964 ,692 ,2092 ,4041 ,3287 ,4498 ,3429 ,8718 ,3330 ,3688 ,3526 ,3108 ,2918 ,2896 ,3479 ,2620 ,3826 ,3469 ,3639 ,2856 ,4499 ,3992 ,6655 ,3732 ,8089 ,3440 ,6507 ,4156 ,2678 ,3193 ,2265 ,1825 ,2157 ,1976 ,1202 ,1780 ,391 ,1191 ,18 ,307 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1010,한남,160 ,0 ,1492 ,666 ,1975 ,5869 ,3792 ,9967 ,4854 ,13891 ,4300 ,10248 ,4637 ,6344 ,5295 ,5615 ,5705 ,5723 ,5325 ,5877 ,6438 ,5033 ,8448 ,5013 ,10494 ,6838 ,14305 ,8182 ,13128 ,7798 ,6416 ,6287 ,5575 ,2916 ,5806 ,3184 ,5743 ,2227 ,2462 ,1456 ,118 ,426 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1011,옥수,0 ,0 ,2 ,17 ,7 ,81 ,50 ,32 ,139 ,272 ,30 ,40 ,38 ,211 ,26 ,190 ,19 ,115 ,15 ,22 ,20 ,13 ,24 ,40 ,425 ,63 ,518 ,82 ,61 ,24 ,323 ,44 ,77 ,26 ,72 ,22 ,24 ,10 ,23 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1012,응봉,105 ,0 ,1191 ,180 ,2698 ,1026 ,6599 ,1311 ,7116 ,2249 ,5012 ,1463 ,3868 ,1390 ,3479 ,1419 ,2985 ,1788 ,2860 ,2345 ,2669 ,2963 ,2897 ,2957 ,3646 ,4008 ,3193 ,4595 ,2475 ,5257 ,1628 ,4517 ,1144 ,2932 ,968 ,2724 ,677 ,2589 ,265 ,1624 ,22 ,592 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1013,왕십리(성동구청),820 ,12 ,5125 ,1137 ,8107 ,6100 ,23958 ,11843 ,38974 ,22048 ,26407 ,20213 ,18251 ,21382 ,19631 ,24864 ,24158 ,26956 ,27386 ,28219 ,29292 ,29085 ,33349 ,32686 ,37940 ,38097 ,41011 ,51232 ,36557 ,66811 ,29097 ,46068 ,29451 ,28199 ,34244 ,24042 ,30813 ,20567 ,13980 ,12270 ,1408 ,5194 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1014,청량리(서울시립대입구),1229 ,28 ,5535 ,1719 ,7699 ,11305 ,28320 ,16320 ,44506 ,25558 ,26452 ,32037 ,35540 ,34938 ,26603 ,40154 ,35352 ,37520 ,41574 ,37645 ,36582 ,41744 ,43302 ,42913 ,44432 ,41085 ,39002 ,40195 ,41846 ,55623 ,26441 ,37231 ,29559 ,22727 ,20335 ,25602 ,12955 ,15795 ,5762 ,8689 ,194 ,4198 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1016,외대앞,366 ,12 ,4896 ,3810 ,7869 ,9708 ,17935 ,5332 ,22966 ,20572 ,14979 ,12148 ,13539 ,15507 ,14977 ,14962 ,16310 ,15282 ,18184 ,13189 ,18960 ,15723 ,20614 ,14647 ,26735 ,17371 ,25695 ,19976 ,17976 ,24066 ,11765 ,19134 ,11085 ,13551 ,10130 ,14116 ,8377 ,14802 ,4349 ,11474 ,172 ,2534 ,1 ,221 ,0 ,0 ,0 ,0 
Dec.23,경원선,1017,신이문,1355 ,3 ,7801 ,1763 ,13181 ,4582 ,32614 ,4399 ,37984 ,7641 ,21953 ,4955 ,16329 ,6104 ,15002 ,7443 ,15020 ,9151 ,13828 ,10293 ,11679 ,11003 ,11557 ,15290 ,13663 ,18203 ,11968 ,21649 ,9642 ,29249 ,5563 ,22708 ,3817 ,15647 ,2737 ,14611 ,2162 ,13978 ,905 ,8833 ,67 ,1911 ,3 ,88 ,0 ,0 ,0 ,0 
Dec.23,경원선,1018,석계,1206 ,4 ,5671 ,1537 ,10027 ,3820 ,21125 ,4569 ,23907 ,7775 ,16697 ,6738 ,14760 ,7010 ,14758 ,9030 ,14360 ,9971 ,14070 ,11288 ,12928 ,12839 ,12480 ,16729 ,13293 ,21385 ,12740 ,25286 ,10898 ,33714 ,7670 ,24399 ,6709 ,17091 ,6221 ,15966 ,5109 ,14105 ,2835 ,9169 ,136 ,2273 ,1 ,190 ,0 ,0 ,0 ,0 
Dec.23,경원선,1019,광운대,2086 ,15 ,6494 ,1124 ,12583 ,2404 ,29150 ,5426 ,27469 ,14413 ,16116 ,10192 ,13320 ,10074 ,13702 ,11897 ,13606 ,11335 ,14425 ,12429 ,13799 ,12039 ,13477 ,12860 ,15267 ,15913 ,14600 ,18393 ,11820 ,25291 ,6868 ,19440 ,5991 ,13529 ,6561 ,12426 ,5223 ,11193 ,2466 ,9883 ,228 ,5355 ,2 ,481 ,0 ,0 ,0 ,0 
Dec.23,경원선,1020,월계,928 ,16 ,4756 ,1203 ,9346 ,2332 ,23456 ,6363 ,22722 ,13346 ,14649 ,10922 ,12458 ,7533 ,12553 ,6525 ,14263 ,8599 ,13029 ,11235 ,12424 ,9479 ,13383 ,10734 ,15077 ,13683 ,12690 ,15274 ,9239 ,21033 ,5620 ,16826 ,4123 ,10073 ,3574 ,10029 ,2783 ,9132 ,1078 ,6193 ,85 ,1482 ,0 ,0 ,0 ,0 ,0 ,0 
Dec.23,경원선,1021,녹천,1132 ,32 ,3918 ,690 ,7284 ,1327 ,19097 ,3680 ,18374 ,4939 ,10411 ,2601 ,8588 ,3447 ,7461 ,3345 ,8217 ,4543 ,6750 ,4789 ,5860 ,5400 ,6084 ,6099 ,6362 ,7629 ,6418 ,9553 ,4303 ,13002 ,3041 ,11418 ,1828 ,7394 ,1707 ,6797 ,1261 ,6252 ,464 ,3982 ,46 ,1213 ,0 ,0 ,0 ,0 ,0 ,0 
